 freq mag phase
 2.23872114e+08 -5.56589807e+01 -6.18780612e+00 
 2.51188643e+08 -5.53943792e+01 -5.32156940e+00 
 2.81838293e+08 -5.51898718e+01 -4.63035706e+00 
 3.16227766e+08 -5.50317793e+01 -4.06217431e+00 
 3.54813389e+08 -5.49093796e+01 -3.58342124e+00 
 3.98107171e+08 -5.48143931e+01 -3.17227723e+00 
 4.46683592e+08 -5.47404810e+01 -2.81430036e+00 
 5.01187234e+08 -5.46828075e+01 -2.49962177e+00 
 5.62341325e+08 -5.46376849e+01 -2.22120741e+00 
 6.30957344e+08 -5.46022956e+01 -1.97380105e+00 
 7.07945784e+08 -5.45744800e+01 -1.75328870e+00 
 7.94328235e+08 -5.45525761e+01 -1.55631741e+00 
 8.91250938e+08 -5.45353000e+01 -1.38006537e+00 
 1.00000000e+09 -5.45216556e+01 -1.22210099e+00 
