 freq mag phase real
 5.01187234e+05  6.36167141e+00 -9.10935937e+01 -3.97000054e-02 
 5.62341325e+05  5.36144571e+00 -9.12441026e+01 -4.02505400e-02 
 6.30957344e+05  4.36116086e+00 -9.14111182e+01 -4.06869291e-02 
 7.07945784e+05  3.36080171e+00 -9.15968565e+01 -4.10324191e-02 
 7.94328235e+05  2.36034915e+00 -9.18037809e+01 -4.13054043e-02 
 8.91250938e+05  1.35977902e+00 -9.20346362e+01 -4.15204255e-02 
 1.00000000e+06  3.59060988e-01 -9.22924835e+01 -4.16889296e-02 
 1.12201845e+06 -6.41843206e-01 -9.25807418e+01 -4.18198923e-02 
 1.25892541e+06 -1.64298171e+00 -9.29032327e+01 -4.19202885e-02 
 1.41253754e+06 -2.64441520e+00 -9.32642301e+01 -4.19954662e-02 
 1.58489319e+06 -3.64622004e+00 -9.36685169e+01 -4.20494301e-02 
 1.77827941e+06 -4.64849241e+00 -9.41214473e+01 -4.20850558e-02 
 1.99526231e+06 -5.65135341e+00 -9.46290169e+01 -4.21042462e-02 
 2.23872114e+06 -6.65495554e+00 -9.51979396e+01 -4.21080298e-02 
 2.51188643e+06 -7.65949073e+00 -9.58357349e+01 -4.20966203e-02 
 2.81838293e+06 -8.66520071e+00 -9.65508236e+01 -4.20694302e-02 
 3.16227766e+06 -9.67238977e+00 -9.73526342e+01 -4.20250452e-02 
 3.54813389e+06 -1.06814409e+01 -9.82517206e+01 -4.19611580e-02 
 3.98107171e+06 -1.16928359e+01 -9.92598918e+01 -4.18744616e-02 
 4.46683592e+06 -1.27071808e+01 -1.00390355e+02 -4.17605026e-02 
 5.01187234e+06 -1.37252370e+01 -1.01657874e+02 -4.16134903e-02 
 5.62341325e+06 -1.47479599e+01 -1.03078943e+02 -4.14260748e-02 
 6.30957344e+06 -1.57765472e+01 -1.04671991e+02 -4.11890933e-02 
 7.07945784e+06 -1.68124974e+01 -1.06457625e+02 -4.08913196e-02 
 7.94328235e+06 -1.78576837e+01 -1.08458954e+02 -4.05192419e-02 
 8.91250938e+06 -1.89144496e+01 -1.10702068e+02 -4.00569155e-02 
 1.00000000e+07 -1.99857487e+01 -1.13216809e+02 -3.94858866e-02 
 1.12201845e+07 -2.10753784e+01 -1.16038051e+02 -3.87850094e-02 
 1.25892541e+07 -2.21884325e+01 -1.19207643e+02 -3.79294836e-02 
