vsweep  v1  v2  v3  v4  v5    
 2.30000000e-03  1.11988399e-03  8.11241678e-06  2.69980485e-07  2.55840933e-07  2.55880513e-07 
 2.40000000e-03  1.12199906e-03  8.13280619e-06  2.69926318e-07  2.55895148e-07  2.55717943e-07 
 2.50000000e-03  1.12411747e-03  8.15316801e-06  2.70148462e-07  2.55960158e-07  2.55842330e-07 
 2.60000000e-03  1.12623952e-03  8.17377570e-06  2.70137063e-07  2.55953029e-07  2.55833167e-07 
 2.70000000e-03  1.12836499e-03  8.19448821e-06  2.69873315e-07  2.55893407e-07  2.55893952e-07 
 2.80000000e-03  1.13049407e-03  8.21511284e-06  2.70249946e-07  2.56131556e-07  2.55776372e-07 
 2.90000000e-03  1.13262675e-03  8.23587078e-06  2.70104148e-07  2.55683567e-07  2.55985801e-07 
 3.00000000e-03  1.13476267e-03  8.25672590e-06  2.70334440e-07  2.56058540e-07  2.55846295e-07 
 3.10000000e-03  1.13690279e-03  8.27752658e-06  2.70438998e-07  2.55997290e-07  2.55996453e-07 
 3.20000000e-03  1.13904620e-03  8.29815253e-06  2.70439151e-07  2.55974815e-07  2.56024275e-07 
 3.30000000e-03  1.14119300e-03  8.31946148e-06  2.70547665e-07  2.55886558e-07  2.55977850e-07 
 3.40000000e-03  1.14334354e-03  8.34024668e-06  2.70607983e-07  2.55794591e-07  2.55739031e-07 
 3.50000000e-03  1.14549781e-03  8.36180460e-06  2.70367437e-07  2.55721810e-07  2.55966349e-07 
 3.60000000e-03  1.14765529e-03  8.38274695e-06  2.70545858e-07  2.55865785e-07  2.55774878e-07 
 3.70000000e-03  1.14981642e-03  8.40398257e-06  2.70593605e-07  2.56062760e-07  2.55974568e-07 
 3.80000000e-03  1.15198107e-03  8.42514469e-06  2.70633938e-07  2.56037645e-07  2.56046701e-07 
 3.90000000e-03  1.15414953e-03  8.44643215e-06  2.70731653e-07  2.55845306e-07  2.55785551e-07 
 4.00000000e-03  1.15632175e-03  8.46832266e-06  2.70484548e-07  2.55601434e-07  2.55980178e-07 
 4.10000000e-03  1.15849716e-03  8.48924108e-06  2.70885782e-07  2.56279632e-07  2.55610804e-07 
 4.20000000e-03  1.16067648e-03  8.51088978e-06  2.70887608e-07  2.55981132e-07  2.55896795e-07 
 4.30000000e-03  1.16285946e-03  8.53288277e-06  2.70776960e-07  2.55718588e-07  2.56049167e-07 
 4.40000000e-03  1.16504586e-03  8.55438840e-06  2.70725409e-07  2.55914896e-07  2.55766904e-07 
 4.50000000e-03  1.16723586e-03  8.57642102e-06  2.71008587e-07  2.56127000e-07  2.55847579e-07 
 4.60000000e-03  1.16942954e-03  8.59835428e-06  2.71045793e-07  2.55773125e-07  2.55584895e-07 
 4.70000000e-03  1.17162720e-03  8.61992716e-06  2.70674125e-07  2.55963191e-07  2.55684634e-07 
 4.80000000e-03  1.17382800e-03  8.64186502e-06  2.70985319e-07  2.56031048e-07  2.56268823e-07 
 4.90000000e-03  1.17603269e-03  8.66430206e-06  2.71288078e-07  2.55794639e-07  2.56020900e-07 
 5.00000000e-03  1.17824107e-03  8.68619313e-06  2.71240169e-07  2.55785117e-07  2.55717676e-07 
 5.10000000e-03  1.18045316e-03  8.70842239e-06  2.71023872e-07  2.55852724e-07  2.55890504e-07 
 5.20000000e-03  1.18266880e-03  8.73080139e-06  2.71180166e-07  2.56112974e-07  2.56021218e-07 
 5.30000000e-03  1.18488779e-03  8.75294872e-06  2.71406815e-07  2.55982460e-07  2.55991197e-07 
 5.40000000e-03  1.18711089e-03  8.77555783e-06  2.71433680e-07  2.55639318e-07  2.55664896e-07 
 5.50000000e-03  1.18933772e-03  8.79816062e-06  2.71507638e-07  2.55911554e-07  2.55997386e-07 
 5.60000000e-03  1.19156806e-03  8.82049987e-06  2.71371994e-07  2.55861497e-07  2.55807034e-07 
 5.70000000e-03  1.19380182e-03  8.84289656e-06  2.71119489e-07  2.55952976e-07  2.55738204e-07 
 5.80000000e-03  1.19603984e-03  8.86581144e-06  2.71470914e-07  2.55856859e-07  2.55904878e-07 
 5.90000000e-03  1.19828106e-03  8.88838867e-06  2.71271796e-07  2.55844977e-07  2.56067356e-07 
 6.00000000e-03  1.20052638e-03  8.91115743e-06  2.71817516e-07  2.55928528e-07  2.55912310e-07 
 6.10000000e-03  1.20277483e-03  8.93406750e-06  2.71416613e-07  2.56129530e-07  2.55969343e-07 
 6.20000000e-03  1.20502761e-03  8.95709119e-06  2.71605666e-07  2.55742046e-07  2.55730706e-07 
 6.30000000e-03  1.20728399e-03  8.98058235e-06  2.71719418e-07  2.55862684e-07  2.56035990e-07 
